Category,Lesser than,Greater than,Average ,COUNT,Minimum,Maximum,Equal to,Not Equal to
age,1,1,1,1,1,1,1,1
depth,1,1,1,0,1,1,1,1
duration,1,1,1,0,1,1,1,1
elevation,1,1,1,0,1,1,1,1
file Size,1,1,1,1,1,1,1,1
grades,1,1,1,1,1,1,1,1
rank,1,1,1,1,1,1,1,1
sales,1,1,1,1,1,1,1,1
symbol,1,1,1,1,1,1,1,1
weight,1,1,1,1,1,1,1,1
ranking,1,1,1,1,1,1,1,1
affiliate,0,0,0,1,0,0,1,1
affiliation,0,0,0,1,0,0,1,1
album,0,0,0,1,0,0,1,1
brand,0,0,0,1,0,0,1,1
capacity,0,0,0,1,0,0,1,1
category,0,0,0,1,0,0,1,1
classification,0,0,0,1,0,0,1,1
class,1,1,1,1,1,1,1,1
club,0,0,0,1,0,0,1,1
code,0,0,0,1,0,0,1,1
command,0,0,0,1,0,0,1,1
collection,0,0,0,1,0,0,1,1
company,0,0,0,1,0,0,1,1
component,0,0,0,1,0,0,1,1
currency,0,0,0,1,0,0,1,1
credit,0,0,0,1,0,0,1,1
description,0,0,0,1,0,0,1,1
family,0,0,0,1,0,0,1,1
format,0,0,0,1,0,0,1,1
gender,0,0,0,1,0,0,1,1
genre,0,0,0,1,0,0,1,1
iSBN,0,0,0,1,0,0,1,1
language,0,0,0,1,0,0,1,1
name,0,0,0,1,0,0,1,1
nationality,0,0,0,1,0,0,1,1
notes,0,0,0,1,0,0,1,1
order,0,0,0,1,0,0,1,1
organisation,0,0,0,1,0,0,1,1
origin,0,0,0,1,0,0,1,1
plays,0,0,0,1,0,0,1,1
position,1,1,1,1,1,1,1,1
product,0,0,0,1,0,0,1,1
range,0,0,0,1,0,0,1,1
requirement,0,0,0,1,0,0,1,1
religion,0,0,0,1,0,0,1,1
result,0,0,0,1,0,0,1,1
sex,0,0,0,1,0,0,1,1
species,0,0,0,1,0,0,1,1
state,0,0,0,1,0,0,1,1
status,0,0,0,1,0,0,1,1
team,0,0,0,1,0,0,1,1
team Name,0,0,0,1,0,0,1,1
type,0,0,0,1,0,0,1,1
artist,0,0,0,0,0,0,1,1
creator,0,0,0,0,0,0,1,1
director,0,0,0,0,0,0,1,1
jockey,0,0,0,0,0,0,1,1
operator,0,0,0,0,0,0,1,1
owner,0,0,0,0,0,0,1,1
person,0,0,0,0,0,0,1,1
education,0,0,0,0,0,0,1,1
industry,0,0,0,0,0,0,1,1
publisher,0,0,0,0,0,0,1,1
service,0,0,0,0,0,0,1,1
manufacturer,0,0,0,0,0,0,1,1
address,0,0,0,0,0,0,1,1
area,0,0,0,0,0,0,1,1
birth place,0,0,0,0,0,0,1,1
city,0,0,0,0,0,0,1,1
continent,0,0,0,0,0,0,1,1
country,0,0,0,0,0,0,1,1
location,0,0,0,0,0,0,1,1
region,0,0,0,0,0,0,1,1
county,0,0,0,0,0,0,1,1
birth Date,1,1,0,0,1,1,1,1
day,1,1,0,0,1,1,1,1
year,1,1,0,0,1,1,1,1
